k_index,k_distance,k_label,band_1,band_2,band_3,band_4,band_5,band_6,band_7
0,0.000000,M,-1.136039,-2.889612,-4.590794,-6.256266,2.475014,4.259759,5.973091
1,0.014142,,-1.093696,-2.843792,-4.540826,-6.198247,2.427833,4.210851,5.923322
2,0.028284,,-1.051414,-2.798153,-4.491579,-6.141803,2.380608,4.161760,5.873786
3,0.042426,,-1.009220,-2.752674,-4.442984,-6.086842,2.333403,4.112490,5.824417
4,0.056569,,-0.967149,-2.707339,-4.394974,-6.033275,2.286294,4.063055,5.775153
5,0.070711,,-0.925237,-2.662138,-4.347487,-5.981009,2.239356,4.013478,5.725944
6,0.084853,,-0.883529,-2.617070,-4.300468,-5.929956,2.192674,3.963792,5.676747
7,0.098995,,-0.842072,-2.572138,-4.253866,-5.880025,2.146335,3.914037,5.627528
8,0.113137,,-0.800920,-2.527354,-4.207637,-5.831130,2.100430,3.864262,5.578264
9,0.127279,,-0.760129,-2.482735,-4.161744,-5.783189,2.055053,3.814526,5.528942
10,0.141421,,-0.719758,-2.438308,-4.116154,-5.736120,2.010300,3.764892,5.479557
11,0.155563,,-0.679871,-2.394102,-4.070846,-5.689847,1.966268,3.715434,5.430116
12,0.169706,,-0.640533,-2.350154,-4.025801,-5.644300,1.923056,3.666229,5.380635
13,0.183848,,-0.601811,-2.306509,-3.981012,-5.599413,1.880762,3.617363,5.331140
14,0.197990,,-0.563774,-2.263213,-3.936476,-5.555124,1.839482,3.568925,5.281666
15,0.212132,,-0.526492,-2.220321,-3.892200,-5.511382,1.799312,3.521008,5.232258
16,0.226274,,-0.490035,-2.177892,-3.848196,-5.468138,1.760345,3.473712,5.182969
17,0.240416,,-0.454472,-2.135986,-3.804485,-5.425353,1.722670,3.427136,5.133863
18,0.254558,,-0.419874,-2.094672,-3.761094,-5.382994,1.686373,3.381385,5.085009
19,0.268701,,-0.386307,-2.054019,-3.718059,-5.341037,1.651536,3.336562,5.036485
20,0.282843,,-0.353838,-2.014098,-3.675421,-5.299464,1.618234,3.292773,4.988375
21,0.296985,,-0.322531,-1.974984,-3.633227,-5.258267,1.586538,3.250123,4.940771
22,0.311127,,-0.292446,-1.936753,-3.591531,-5.217444,1.556512,3.208716,4.893769
23,0.325269,,-0.263640,-1.899482,-3.550392,-5.177004,1.528212,3.168653,4.847470
24,0.339411,,-0.236168,-1.863248,-3.509874,-5.136962,1.501689,3.130033,4.801978
25,0.353553,,-0.210079,-1.828127,-3.470046,-5.097340,1.476984,3.092952,4.757402
26,0.367696,,-0.185418,-1.794196,-3.430981,-5.058170,1.454132,3.057502,4.713852
27,0.381838,,-0.162225,-1.761529,-3.392756,-5.019490,1.433157,3.023768,4.671440
28,0.395980,,-0.140534,-1.730198,-3.355448,-4.981345,1.414078,2.991832,4.630277
29,0.410122,,-0.120375,-1.700273,-3.319140,-4.943789,1.396902,2.961768,4.590476
30,0.424264,,-0.101770,-1.671821,-3.283915,-4.906879,1.381630,2.933644,4.552147
31,0.438406,,-0.084738,-1.644903,-3.249856,-4.870681,1.368252,2.907520,4.515398
32,0.452548,,-0.069290,-1.619580,-3.217047,-4.835265,1.356751,2.883447,4.480335
33,0.466690,,-0.055430,-1.595904,-3.185573,-4.800707,1.347102,2.861471,4.447060
34,0.480833,,-0.043158,-1.573924,-3.155515,-4.767084,1.339269,2.841626,4.415668
35,0.494975,,-0.032466,-1.553684,-3.126956,-4.734481,1.333210,2.823939,4.386252
36,0.509117,,-0.023341,-1.535221,-3.099972,-4.702983,1.328876,2.808426,4.358896
37,0.523259,,-0.015763,-1.518566,-3.074640,-4.672679,1.326208,2.795097,4.333680
38,0.537401,,-0.009707,-1.503744,-3.051033,-4.643659,1.325144,2.783949,4.310675
39,0.551543,,-0.005142,-1.490774,-3.029217,-4.616014,1.325612,2.774973,4.289943
40,0.565685,,-0.002031,-1.479666,-3.009257,-4.589834,1.327535,2.768147,4.271540
41,0.579828,,-0.000333,-1.470426,-2.991209,-4.565211,1.330834,2.763443,4.255511
42,0.593970,,0.000000,-1.463053,-2.975128,-4.542233,1.335421,2.760824,4.241892
43,0.608112,,-0.000982,-1.457536,-2.961058,-4.520989,1.341206,2.760242,4.230712
44,0.622254,,-0.003224,-1.453860,-2.949041,-4.501562,1.348098,2.761644,4.221986
45,0.636396,,-0.006667,-1.452003,-2.939109,-4.484035,1.355999,2.764967,4.215722
46,0.650538,,-0.011249,-1.451936,-2.931288,-4.468484,1.364814,2.770140,4.211918
47,0.664680,,-0.016906,-1.453625,-2.925599,-4.454984,1.374444,2.777089,4.210561
48,0.678823,,-0.023571,-1.457028,-2.922052,-4.443601,1.384792,2.785730,4.211629
49,0.692965,,-0.031175,-1.462098,-2.920651,-4.434398,1.395759,2.795976,4.215088
50,0.707107,¦£,-0.039649,-1.468785,-2.921395,-4.427431,1.407250,2.807734,4.220899
51,0.725478,,-0.028806,-1.460410,-2.920845,-4.436918,1.392420,2.792750,4.213805
52,0.743849,,-0.019467,-1.454789,-2.923915,-4.450151,1.378522,2.780364,4.210700
53,0.762220,,-0.011783,-1.452030,-2.930604,-4.466999,1.365769,2.770775,4.211666
54,0.780591,,-0.005900,-1.452225,-2.940891,-4.487319,1.354374,2.764167,4.216757
55,0.798963,,-0.001960,-1.455451,-2.954733,-4.510949,1.344553,2.760706,4.225999
56,0.817334,,-0.000096,-1.461766,-2.972067,-4.537717,1.336516,2.760539,4.239392
57,0.835705,,-0.000433,-1.471209,-2.992810,-4.567439,1.330470,2.763793,4.256904
58,0.854076,,-0.003081,-1.483801,-3.016862,-4.599924,1.326612,2.770570,4.278479
59,0.872447,,-0.008141,-1.499542,-3.044105,-4.634975,1.325128,2.780948,4.304031
60,0.890819,,-0.015698,-1.518415,-3.074405,-4.672394,1.326191,2.794979,4.333448
61,0.909190,,-0.025822,-1.540380,-3.107615,-4.711980,1.329956,2.812692,4.366597
62,0.927561,,-0.038567,-1.565382,-3.143576,-4.753538,1.336563,2.834084,4.403318
63,0.945932,,-0.053970,-1.593346,-3.182119,-4.796876,1.346130,2.859131,4.443432
64,0.964303,,-0.072051,-1.624180,-3.223069,-4.841809,1.358755,2.887780,4.486743
65,0.982674,,-0.092811,-1.657778,-3.266243,-4.888165,1.374512,2.919952,4.533038
66,1.001046,,-0.116235,-1.694018,-3.311459,-4.935782,1.393452,2.955545,4.582092
67,1.019417,,-0.142290,-1.732766,-3.358532,-4.984514,1.415601,2.994433,4.633669
68,1.037788,,-0.170925,-1.773876,-3.407280,-5.034231,1.440961,3.036469,4.687529
69,1.056159,,-0.202073,-1.817195,-3.457526,-5.084822,1.469508,3.081488,4.743424
70,1.074530,,-0.235653,-1.862561,-3.509101,-5.136196,1.501197,3.129305,4.801111
71,1.092901,,-0.271568,-1.909809,-3.561843,-5.188280,1.535954,3.179721,4.860348
72,1.111273,,-0.309708,-1.958771,-3.615602,-5.241028,1.573685,3.232527,4.920897
73,1.129644,,-0.349951,-2.009276,-3.670243,-5.294413,1.614276,3.287502,4.982533
74,1.148015,,-0.392167,-2.061160,-3.725645,-5.348431,1.657589,3.344420,5.045042
75,1.166386,,-0.436216,-2.114258,-3.781704,-5.403103,1.703471,3.403051,5.108225
76,1.184757,,-0.481952,-2.168414,-3.838334,-5.458472,1.751752,3.463165,5.171902
77,1.203128,,-0.529224,-2.223481,-3.895468,-5.514602,1.802246,3.524535,5.235912
78,1.221500,,-0.577880,-2.279321,-3.953061,-5.571580,1.854757,3.586939,5.300118
79,1.239871,,-0.627765,-2.335808,-4.011087,-5.629512,1.909082,3.650165,5.364406
80,1.258242,,-0.678728,-2.392830,-4.069542,-5.688523,1.965009,3.714010,5.428689
81,1.276613,,-0.730621,-2.450291,-4.128443,-5.748755,2.022324,3.778288,5.492906
82,1.294984,,-0.783301,-2.508111,-4.187828,-5.810366,2.080812,3.842828,5.557025
83,1.313355,,-0.836632,-2.566229,-4.247756,-5.873526,2.140261,3.907479,5.621041
84,1.331727,,-0.890490,-2.624600,-4.308304,-5.938416,2.200462,3.972110,5.684978
85,1.350098,,-0.944759,-2.683200,-4.369570,-6.005226,2.261218,4.036613,5.748888
86,1.368469,,-0.999337,-2.742025,-4.431669,-6.074152,2.322339,4.100905,5.812851
87,1.386840,,-1.054135,-2.801088,-4.494731,-6.145393,2.383649,4.164928,5.876971
88,1.405211,,-1.109080,-2.860423,-4.558899,-6.219147,2.444989,4.228648,5.941379
89,1.423583,,-1.164113,-2.920082,-4.624332,-6.295613,2.506216,4.292060,6.006229
90,1.441954,,-1.219196,-2.980137,-4.691194,-6.374984,2.567207,4.355186,6.071695
91,1.460325,,-1.274303,-3.040675,-4.759662,-6.457444,2.627859,4.418071,6.137970
92,1.478696,,-1.329430,-3.101800,-4.829915,-6.543171,2.688093,4.480789,6.205264
93,1.497067,,-1.384588,-3.163631,-4.902138,-6.632327,2.747853,4.543436,6.273799
94,1.515438,,-1.439807,-3.226299,-4.976513,-6.725064,2.807108,4.606135,6.343810
95,1.533810,,-1.495134,-3.289947,-5.053224,-6.821513,2.865850,4.669026,6.415535
96,1.552181,,-1.550631,-3.354727,-5.132448,-6.921791,2.924097,4.732273,6.489221
97,1.570552,,-1.606377,-3.420800,-5.214359,-7.025994,2.981891,4.796055,6.565113
98,1.588923,,-1.662467,-3.488330,-5.299119,-7.134197,3.039299,4.860569,6.643453
99,1.607294,,-1.719007,-3.557485,-5.386879,-7.246453,3.096410,4.926022,6.724480
100,1.625665,K,-1.776116,-3.628434,-5.477779,-7.362794,3.153335,4.992632,6.808422
