k_index,k_distance,k_label,band_1,band_2,band_3,band_4,band_5,band_6,band_7
0,0.000000,M,-1.136039,-2.889612,-4.590794,-6.256266,2.175014,3.959759,5.673091
1,0.014142,,-1.093696,-2.843792,-4.540826,-6.198247,2.127833,3.910851,5.623322
2,0.028284,,-1.051414,-2.798153,-4.491579,-6.141803,2.080608,3.861760,5.573786
3,0.042426,,-1.009220,-2.752674,-4.442984,-6.086842,2.033403,3.812490,5.524417
4,0.056569,,-0.967149,-2.707339,-4.394974,-6.033275,1.986294,3.763055,5.475153
5,0.070711,,-0.925237,-2.662138,-4.347487,-5.981009,1.939356,3.713478,5.425944
6,0.084853,,-0.883529,-2.617070,-4.300468,-5.929956,1.892674,3.663792,5.376747
7,0.098995,,-0.842072,-2.572138,-4.253866,-5.880025,1.846335,3.614037,5.327528
8,0.113137,,-0.800920,-2.527354,-4.207637,-5.831130,1.800430,3.564262,5.278264
9,0.127279,,-0.760129,-2.482735,-4.161744,-5.783189,1.755053,3.514526,5.228942
10,0.141421,,-0.719758,-2.438308,-4.116154,-5.736120,1.710300,3.464892,5.179557
11,0.155563,,-0.679871,-2.394102,-4.070846,-5.689847,1.666268,3.415434,5.130116
12,0.169706,,-0.640533,-2.350154,-4.025801,-5.644300,1.623056,3.366229,5.080635
13,0.183848,,-0.601811,-2.306509,-3.981012,-5.599413,1.580762,3.317363,5.031140
14,0.197990,,-0.563774,-2.263213,-3.936476,-5.555124,1.539482,3.268925,4.981666
15,0.212132,,-0.526492,-2.220321,-3.892200,-5.511382,1.499312,3.221008,4.932258
16,0.226274,,-0.490035,-2.177892,-3.848196,-5.468138,1.460345,3.173712,4.882969
17,0.240416,,-0.454472,-2.135986,-3.804485,-5.425353,1.422670,3.127136,4.833863
18,0.254558,,-0.419874,-2.094672,-3.761094,-5.382994,1.386373,3.081385,4.785009
19,0.268701,,-0.386307,-2.054019,-3.718059,-5.341037,1.351536,3.036562,4.736485
20,0.282843,,-0.353838,-2.014098,-3.675421,-5.299464,1.318234,2.992773,4.688375
21,0.296985,,-0.322531,-1.974984,-3.633227,-5.258267,1.286538,2.950123,4.640771
22,0.311127,,-0.292446,-1.936753,-3.591531,-5.217444,1.256512,2.908716,4.593769
23,0.325269,,-0.263640,-1.899482,-3.550392,-5.177004,1.228212,2.868653,4.547470
24,0.339411,,-0.236168,-1.863248,-3.509874,-5.136962,1.201689,2.830033,4.501978
25,0.353553,,-0.210079,-1.828127,-3.470046,-5.097340,1.176984,2.792952,4.457402
26,0.367696,,-0.185418,-1.794196,-3.430981,-5.058170,1.154132,2.757502,4.413852
