k_index,k_distance,k_label,band_1,band_2,band_3,band_4,band_5,band_6,band_7
0,0.000000,M,-1.136039,-2.889612,-4.590794,-6.256266,1.775014,3.559759,5.273091
1,0.014142,,-1.093696,-2.843792,-4.540826,-6.198247,1.727833,3.510851,5.223322
2,0.028284,,-1.051414,-2.798153,-4.491579,-6.141803,1.680608,3.461760,5.173786
3,0.042426,,-1.009220,-2.752674,-4.442984,-6.086842,1.633403,3.412490,5.124417
4,0.056569,,-0.967149,-2.707339,-4.394974,-6.033275,1.586294,3.363055,5.075153
5,0.070711,,-0.925237,-2.662138,-4.347487,-5.981009,1.539356,3.313478,5.025944
6,0.084853,,-0.883529,-2.617070,-4.300468,-5.929956,1.492674,3.263792,4.976747
7,0.098995,,-0.842072,-2.572138,-4.253866,-5.880025,1.446335,3.214037,4.927528
8,0.113137,,-0.800920,-2.527354,-4.207637,-5.831130,1.400430,3.164262,4.878264
9,0.127279,,-0.760129,-2.482735,-4.161744,-5.783189,1.355053,3.114526,4.828942
10,0.141421,,-0.719758,-2.438308,-4.116154,-5.736120,1.310300,3.064892,4.779557
11,0.155563,,-0.679871,-2.394102,-4.070846,-5.689847,1.266268,3.015434,4.730116
12,0.169706,,-0.640533,-2.350154,-4.025801,-5.644300,1.223056,2.966229,4.680635
13,0.183848,,-0.601811,-2.306509,-3.981012,-5.599413,1.180762,2.917363,4.631140
14,0.197990,,-0.563774,-2.263213,-3.936476,-5.555124,1.139482,2.868925,4.581666
15,0.212132,,-0.526492,-2.220321,-3.892200,-5.511382,1.099312,2.821008,4.532258
16,0.226274,,-0.490035,-2.177892,-3.848196,-5.468138,1.060345,2.773712,4.482969
17,0.240416,,-0.454472,-2.135986,-3.804485,-5.425353,1.022670,2.727136,4.433863
18,0.254558,,-0.419874,-2.094672,-3.761094,-5.382994,0.986373,2.681385,4.385009
19,0.268701,,-0.386307,-2.054019,-3.718059,-5.341037,0.951536,2.636562,4.336485
20,0.282843,,-0.353838,-2.014098,-3.675421,-5.299464,0.918234,2.592773,4.288375
21,0.296985,,-0.322531,-1.974984,-3.633227,-5.258267,0.886538,2.550123,4.240771
22,0.311127,,-0.292446,-1.936753,-3.591531,-5.217444,0.856512,2.508716,4.193769
23,0.325269,,-0.263640,-1.899482,-3.550392,-5.177004,0.828212,2.468653,4.147470
24,0.339411,,-0.236168,-1.863248,-3.509874,-5.136962,0.801689,2.430033,4.101978
25,0.353553,,-0.210079,-1.828127,-3.470046,-5.097340,0.776984,2.392952,4.057402
26,0.367696,,-0.185418,-1.794196,-3.430981,-5.058170,0.754132,2.357502,4.013852
27,0.381838,,-0.162225,-1.761529,-3.392756,-5.019490,0.733157,2.323768,3.971440
28,0.395980,,-0.140534,-1.730198,-3.355448,-4.981345,0.714078,2.291832,3.930277
29,0.410122,,-0.120375,-1.700273,-3.319140,-4.943789,0.696902,2.261768,3.890476
30,0.424264,,-0.101770,-1.671821,-3.283915,-4.906879,0.681630,2.233644,3.852147
